NOME_CURSO,ID_CURSO
Administração - Diurno,719
Administração - Noturno,720
Agente de Desenvolvimento Cooperativista (PROEJA-FIC-EJA-ENSINO-MÉDIO),2291
Agronomia,708
Agronomia - CAMPUS UFSM-FW,1034
Aluno Especial de Graduação,921
Aluno Especial de Pós-Graduação,922
Arquitetura e Urbanismo,718
Arquitetura e Urbanismo,1671
Arquivologia,732
Artes Cênicas - Bacharelado,837
Artes Cênicas - Direção Teatral,838
Artes Cênicas - Interpretação Teatral,839
Artes Visuais - Bacharelado em Desenho e Plástica,973
Artes Visuais - Licenciatura Plena em Desenho e Plástica,972
Assistente Administrativo (PROEJA-FIC-EJA-ENSINO-MÉDIO),2284
Bacharelado em Filosofia - Noturno,1192
Bacharelado em Letras-Português/Literaturas,1189
Bacharelado em Sistemas de Informação,1250
Ciência da Computação - Bacharelado,701
Ciências Biológicas - Bacharelado,687
Ciências Biológicas - Licenciatura Plena,688
Ciências Biológicas - Núcleo Comum,686
Ciências Contábeis - Diurno,966
Ciências Contábeis - Noturno,722
Ciências Econômicas - Diurno,726
Ciências Econômicas - Noturno,725
Ciências Sociais  - Bacharelado,799
Comunicação Social - Jornalismo,728
Comunicação Social - Produção Editorial,1328
Comunicação Social - Publicidade e Propaganda,729
Comunicação Social - Relações Públicas,730
Controle de Inscrição e Matrícula da Educação,2224
CPOL - Curso Técnico em Cooperativismo/Distância/Silveira Martins/RS,2245
CPOL - Curso Técnico em Fruticultura/Distância/Santa Maria/RS,1714
CTISM - Automação Industrial Subsequente - Noturno,1637
CTISM - Automação Industrial/Distância/Alegrete/RS,1222
CTISM - Eletromecânica - Noturno,932
CTISM - Mecânica - Noturno,928
CTISM - Segurança do Trabalho - Noturno,929
CTISM - Técnico em Informática para Internet Integrado ao Ensino Médio,1635
CTISM - Técnico em Soldagem Subsequente,1636
Curso de Administração - Diurno/Campus/PM,1047
Curso de Administração - Noturno/Campus/PM,1048
Curso de Bacharelado em Administração,1420
Curso de Bacharelado em Estatística - Noturno,1232
Curso de Ciências Biológicas/CAMPUS/PM,1237
Curso de Ciências Econômicas/CAMPUS/PM,1340
Curso de Enfermagem/CAMPUS/PM,1049
Curso de Engenharia Acústica,1217
Curso de Engenharia Aeroespacial,1730
Curso de Engenharia de Computação,1218
Curso de Engenharia de Produção,1219
Curso de Engenharia de Telecomunicações,1731
Curso de Engenharia Sanitária e Ambiental,1215
Curso de Nutrição/CAMPUS/PM,1235
Curso de Zootecnia/CAMPUS/PM,1050
Curso Engenharia de Controle e Automação,1216
Curso Superior de Tecnologia de Geoprocessamento,1194
