DH_CARGA,SITUACAO,JORNADA,ESCOLARIDADE_ITEM,ESCOLARIDADE,DESCR_CARGO,GRUPO_CARGO,TIPO_CARGO,LOTACAO,LOTACAO_DESCR,REGIME_JUR,NUM_SERVIDORES
2018-12-11 19:33:05.023159,Ativo,40h,13,Mestrado,"PROFESSOR ENSINO BÁSICO, TÉCNICO E TECNOLÓGICO - SUBSTITUTO ",Magistério do Ensino Básico Técnico e Tecnológico,Docente,POLITECNICO,COLÉGIO POLITÉCNICO DA UNIVERSIDADE FEDERAL DE SANTA MARIA,Substitutos e  Visitantes,1
2018-12-11 19:33:05.023159,Ativo,40h,14,Doutorado,"PROFESSOR ENSINO BÁSICO, TÉCNICO E TECNOLÓGICO - SUBSTITUTO ",Magistério do Ensino Básico Técnico e Tecnológico,Docente,POLITECNICO,COLÉGIO POLITÉCNICO DA UNIVERSIDADE FEDERAL DE SANTA MARIA,Substitutos e  Visitantes,1
2018-12-11 19:33:05.023159,Ativo,40h,13,Mestrado,PROFESSOR MAGISTÉRIO SUPERIOR - SUBSTITUTO                  ,Professor Ensino Superior,Docente,POLITECNICO,COLÉGIO POLITÉCNICO DA UNIVERSIDADE FEDERAL DE SANTA MARIA,Substitutos e  Visitantes,1
2018-12-11 19:33:05.023159,Ativo,40h,14,Doutorado,PROFESSOR MAGISTÉRIO SUPERIOR - SUBSTITUTO                  ,Professor Ensino Superior,Docente,POLITECNICO,COLÉGIO POLITÉCNICO DA UNIVERSIDADE FEDERAL DE SANTA MARIA,Substitutos e  Visitantes,2
2018-12-11 19:33:05.023159,Ativo,40h,12,Especialização,Secretário Executivo                                        ,Classe E (PCCTAE),Técnico-Administrativo em Educação,POLITECNICO,COLÉGIO POLITÉCNICO DA UNIVERSIDADE FEDERAL DE SANTA MARIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,14,Doutorado,Analista de Tecnologia da Informação                        ,Classe E (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,2
2018-12-11 19:33:05.023159,Ativo,40h,12,Especialização,Arquiteto  Urbanista                                        ,Classe E (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,3
2018-12-11 19:33:05.023159,Ativo,40h,13,Mestrado,Arquiteto  Urbanista                                        ,Classe E (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,3
2018-12-11 19:33:05.023159,Ativo,40h,10,Sup. Compl. ou Habilitação Legal Eq.,Arquivista                                                  ,Classe E (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,12,Especialização,Arquivista                                                  ,Classe E (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,4
2018-12-11 19:33:05.023159,Ativo,40h,13,Mestrado,Arquivista                                                  ,Classe E (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,8
2018-12-11 19:33:05.023159,Ativo,40h,14,Doutorado,Arquivista                                                  ,Classe E (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,13,Mestrado,Assistente de Laboratório                                   ,Classe C (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,13,Mestrado,Assistente de Tecnologia da Informação                      ,Classe C (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,7,2 Grau Incompleto,Assistente em Administração                                 ,Classe D (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,2
2018-12-11 19:33:05.023159,Ativo,40h,8,2 Grau Completo ou Técnico,Assistente em Administração                                 ,Classe D (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,20
2018-12-11 19:33:05.023159,Ativo,40h,9,Superior Incompleto,Assistente em Administração                                 ,Classe D (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,13,Mestrado,Contador                                                    ,Classe E (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,7
2018-12-11 19:33:05.023159,Exercício Provisório,40h,13,Mestrado,Contador                                                    ,Classe E (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,4,1 Grau Incompleto até 4 Série Completa,Contínuo                                                    ,Classe C (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,8,2 Grau Completo ou Técnico,Contínuo                                                    ,Classe C (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,12,Especialização,Auxiliar de Enfermagem                                      ,Classe C (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,3,1 Grau Incompleto até 4 Série Incompleta,Auxiliar de Mecânica                                        ,Classe B (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,8,2 Grau Completo ou Técnico,Auxiliar de Mecânica                                        ,Classe B (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,6,1 Grau Completo - Até 8 Série Completo,Auxiliar de Nutrição e Dietética                            ,Classe B (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
