Classificacao;Ano;Total;
Iniciação Científica;2013;1318;
Iniciação Científica;2014;1329;
Iniciação Científica;2015;1248;
Iniciação Científica;2016;1167;
Iniciação Científica;2017;1133;
Iniciação Científica;2018;1177;
Iniciação Científica;2019;1195;
Iniciação Científica;2020;981;
Iniciação Científica;2021;831;
Iniciação Científica;2022;760;
Trabalho de conclusão de curso de graduação;2013;1805;
Trabalho de conclusão de curso de graduação;2014;2085;
Trabalho de conclusão de curso de graduação;2015;2031;
Trabalho de conclusão de curso de graduação;2016;2072;
Trabalho de conclusão de curso de graduação;2017;2244;
Trabalho de conclusão de curso de graduação;2018;1955;
Trabalho de conclusão de curso de graduação;2019;1919;
Trabalho de conclusão de curso de graduação;2020;1061;
Trabalho de conclusão de curso de graduação;2021;1293;
Trabalho de conclusão de curso de graduação;2022;1395;
Monografia de conclusão de curso de aperfeiçoamento/especialização;2013;449;
Monografia de conclusão de curso de aperfeiçoamento/especialização;2014;576;
Monografia de conclusão de curso de aperfeiçoamento/especialização;2015;619;
Monografia de conclusão de curso de aperfeiçoamento/especialização;2016;509;
Monografia de conclusão de curso de aperfeiçoamento/especialização;2017;475;
Monografia de conclusão de curso de aperfeiçoamento/especialização;2018;640;
Monografia de conclusão de curso de aperfeiçoamento/especialização;2019;262;
Monografia de conclusão de curso de aperfeiçoamento/especialização;2020;215;
Monografia de conclusão de curso de aperfeiçoamento/especialização;2021;161;
Monografia de conclusão de curso de aperfeiçoamento/especialização;2022;238;
Dissertação de mestrado;2013;832;
Dissertação de mestrado;2014;852;
Dissertação de mestrado;2015;929;
Dissertação de mestrado;2016;1010;
Dissertação de mestrado;2017;1031;
Dissertação de mestrado;2018;1031;
Dissertação de mestrado;2019;1052;
Dissertação de mestrado;2020;892;
Dissertação de mestrado;2021;758;
Dissertação de mestrado;2022;768;
Tese de doutorado;2013;189;
Tese de doutorado;2014;244;
Tese de doutorado;2015;280;
Tese de doutorado;2016;389;
Tese de doutorado;2017;388;
Tese de doutorado;2018;444;
Tese de doutorado;2019;385;
Tese de doutorado;2020;253;
Tese de doutorado;2021;332;
Tese de doutorado;2022;321;
Supervisão de pós-doutorado;2013;32;
Supervisão de pós-doutorado;2014;49;
Supervisão de pós-doutorado;2015;53;
Supervisão de pós-doutorado;2016;62;
Supervisão de pós-doutorado;2017;51;
Supervisão de pós-doutorado;2018;68;
Supervisão de pós-doutorado;2019;56;
Supervisão de pós-doutorado;2020;48;
Supervisão de pós-doutorado;2021;34;
Supervisão de pós-doutorado;2022;29;
Orientação de outra natureza;2013;891;
Orientação de outra natureza;2014;1037;
Orientação de outra natureza;2015;936;
Orientação de outra natureza;2016;819;
Orientação de outra natureza;2017;890;
Orientação de outra natureza;2018;802;
Orientação de outra natureza;2019;981;
Orientação de outra natureza;2020;389;
Orientação de outra natureza;2021;579;
Orientação de outra natureza;2022;616;
Orientações Concluídas;2013;23;
Orientações Concluídas;2014;100;
Orientações Concluídas;2015;184;
Orientações Concluídas;2016;415;
Orientações Concluídas;2017;364;
Orientações Concluídas;2018;279;
Orientações Concluídas;2019;294;
Orientações Concluídas;2020;147;
Orientações Concluídas;2021;180;
Orientações Concluídas;2022;157;
